x;y;z
0,5810724;-0,6591998;-0,5195471
0,5810724;-0,6591998;-0,5195471
0,529313;-0,6675009;-0,4751122
0,529313;-0,6675009;-0,4751122
0,5249184;-0,6926481;-0,4939116
0,5249184;-0,6926481;-0,4939116
0,5581225;-0,6902066;-0,5344401
0,5581225;-0,6902066;-0,5344401
0,5674002;-0,6589556;-0,537614
0,5674002;-0,6589556;-0,537614
0,5224769;-0,6176946;-0,4477676
0,5224769;-0,6176946;-0,4477676
0,5739921;-0,4734031;-0,4275033
0,5739921;-0,4734031;-0,4275033
0,6806849;-0,2561113;-0,7522202
0,6806849;-0,2561113;-0,7522202
0,6113468;-0,2949309;-0,6982635
0,6113468;-0,2949309;-0,6982635
0,6113468;-0,2949309;-0,6982635
0,6113468;-0,2949309;-0,6982635
0,395764;-0,7424543;-0,5695975
0,395764;-0,7424543;-0,5695975
0,3181249;-0,8073977;-0,4328745
0,3181249;-0,8073977;-0,4328745
0,2810144;-0,8579363;-0,4133427
0,2810144;-0,8579363;-0,4133427
0,1428266;-1,050813;-0,2861415
0,1428266;-1,050813;-0,2861415
0,1477096;-1,001251;-0,3425398
0,1477096;-1,001251;-0,3425398
0,2199774;-0,9065218;-0,4497207
0,2199774;-0,9065218;-0,4497207
0,4941557;-0,5695975;-0,6408887
0,4941557;-0,5695975;-0,6408887
0,4480117;-0,3938108;-0,6303903
0,4480117;-0,3938108;-0,6303903
0,5881527;-0,234138;-0,8076418
0,5881527;-0,234138;-0,8076418
0,6120793;-0,3154393;-0,7102268
0,6120793;-0,3154393;-0,7102268
0,4292123;-0,8340098;-0,6172063
0,4292123;-0,8340098;-0,6172063
0,3313089;-0,9148229;-0,4572893
0,3313089;-0,9148229;-0,4572893
0,1376995;-1,16361;0,009765923
0,1376995;-1,16361;0,009765923
0,05493332;-1,086215;-0,2038636
0,05493332;-1,086215;-0,2038636
0,3103122;-0,5446944;-0,2385327
0,3103122;-0,5446944;-0,2385327
0,684347;0,829371;-0,4126102
0,684347;0,829371;-0,4126102
0,4895169;0,7976318;-0,4289682
0,4895169;0,7976318;-0,4289682
0,6010925;0,9370404;-0,6574908
0,6010925;0,9370404;-0,6574908
0,3037202;0,5815607;-0,5883968
0,3037202;0,5815607;-0,5883968
0,2443922;0,2282785;-0,6692099
0,2443922;0,2282785;-0,6692099
0,4284799;0,1132847;-0,8283944
0,4284799;0,1132847;-0,8283944
0,3457137;0,2268136;-1,195349
0,3457137;0,2268136;-1,195349
0,2761315;0,1870174;-1,20072
0,2761315;0,1870174;-1,20072
0,1701712;0,125248;-0,9538866
0,1701712;0,125248;-0,9538866
0,1623585;0,03173925;-1,076693
0,1623585;0,03173925;-1,076693
0,05224769;-0,105472;-1,129917
0,05224769;-0,105472;-1,129917
0,04663228;0,09326456;-0,9878231
0,04663228;0,09326456;-0,9878231
0,04589984;0,006103702;-0,8884548
0,04589984;0,006103702;-0,8884548
-0,03369243;-0,153325;-0,6836146
-0,03369243;-0,153325;-0,6836146
-0,03613392;-0,04931791;-0,6972869
-0,03613392;-0,04931791;-0,6972869
0,01025422;0,04370251;-0,3476669
0,01025422;0,04370251;-0,3476669
-0,07177953;-0,01025422;-0,2710043
-0,07177953;-0,01025422;-0,2710043
-0,1110874;0,07641835;-0,5571459
-0,1110874;0,07641835;-0,5571459
-0,004638813;0,002441481;-0,4028443
-0,004638813;0,002441481;-0,4028443
-0,02441481;0,03637806;-1,752983
-0,02441481;0,03637806;-1,752983
0,0002441481;0,04687643;-1,013947
0,0002441481;0,04687643;-1,013947
0,005371258;0,04004028;-0,9817195
0,005371258;0,04004028;-0,9817195
0,00512711;0,03637806;-0,984405
0,00512711;0,03637806;-0,984405
0,008301035;0,03833125;-0,9890439
0,008301035;0,03833125;-0,9890439
0,00634785;0,03735466;-0,9858699
0,00634785;0,03735466;-0,9858699
0,003662221;0,03686636;-0,9841608
0,003662221;0,03686636;-0,9841608
0,003418073;0,0385754;-0,9897763
0,003418073;0,0385754;-0,9897763
0,007812738;0,04028443;-0,9841608
0,007812738;0,04028443;-0,9841608
0,00634785;0,03735466;-0,9863583
0,00634785;0,03735466;-0,9863583
0,00756859;0,03881954;-0,9873348
0,00756859;0,03881954;-0,9873348
0,006103702;0,0385754;-0,9866024
0,006103702;0,0385754;-0,9866024
0,004882962;0,03735466;-0,9858699
0,004882962;0,03735466;-0,9858699
0,01049837;0,04052858;-0,9870906
0,01049837;0,04052858;-0,9870906
0,02734459;0,02417066;-1,241737
0,02734459;0,02417066;-1,241737
0,002929777;0,03637806;-1,010529
0,002929777;0,03637806;-1,010529
-0,008056886;0,06445509;-1,02884
-0,008056886;0,06445509;-1,02884
0,05444502;0,1008332;-1,009308
0,05444502;0,1008332;-1,009308
-0,04004028;-0,03930784;-0,9192175
-0,04004028;-0,03930784;-0,9192175
-0,00122074;0,01513718;-1,003449
-0,00122074;0,01513718;-1,003449
-0,0314951;0,02002014;-0,667745
-0,0314951;0,02002014;-0,667745
0,003906369;0,07031465;-0,9555956
0,003906369;0,07031465;-0,9555956
0,008301035;0,04101688;-0,9917294
0,008301035;0,04101688;-0,9917294
0,009033479;0,03662221;-0,9851375
0,009033479;0,03662221;-0,9851375
0,004882962;0,03564562;-0,9856258
0,004882962;0,03564562;-0,9856258
0,0192877;0,03076266;-0,9712211
0,0192877;0,03076266;-0,9712211
0,008789331;0,03466903;-0,9848933
0,008789331;0,03466903;-0,9848933
