x;y;z
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1406293;0,2939543;-0,9768364
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1691946;0,2312082;-0,9416792
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1955626;0,1750542;-0,9724419
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1984924;0,1826228;-0,9358196
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1938536;0,1948302;-0,908475
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1955626;0,1970275;-0,9028596
0,1936094;0,2141179;-0,9424115
0,1936094;0,2141179;-0,9424115
0,1936094;0,2141179;-0,9424115
0,1936094;0,2141179;-0,9424115
0,1936094;0,2141179;-0,9424115
